Team Name,Boys Website,Girls Website,Rink Name,Boys Rink,Girls Rink,Address,Phone #,Boys Ages,Girls Ages,Boys Leagues,Girls Leagues,Logo
Bridgewater Bandits,https://www.bridgewaterbanditshockey.com/,https://www.bridgewaterbanditshockey.com/,Bridgewater Ice Arena,Bridgewater Ice Arena,Bridgewater Ice Arena,"20 Bedford Park, Bridgewater, MA 02324",(781) 844-3903,U8-U18,U8-U18,EHF (Northeast Generals),NEGHL,team-logos/logo-Bridgewater-Bandits.png
Brooks School,https://www.brooksschool.org/,https://www.brooksschool.org/,Brooks School,Brooks School,Brooks School,"1160 Great Pond Road, North Andover, MA 01845",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Brooks-School.png
Buckingham Browne & Nichols School,https://www.bbns.org/,https://www.bbns.org/,BB&N,BB&N (Cambridge),BB&N (Cambridge),"80 Gerry's Landing Rd, Cambridge, MA 02138",,PreK-12,PreK-12,ISL,ISL,team-logos/logo-Buckingham-Browne---Nichols-School.png
Canterbury School,https://www.cbury.org/,https://www.cbury.org/,Canterbury School,Canterbury School,Canterbury School,"101 Aspetuck Avenue, New Milford, CT 06776",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Canterbury-School.png
Cape Cod Storm,,https://www.falmouthyouthhockey.com/,Falmouth Ice Arena,Falmouth Ice Arena,Falmouth Ice Arena,"9 Technology Park Drive, East Falmouth, MA 02536",,U14,U14,,NEGHL,team-logos/logo-Cape-Cod-Storm.png
Cape Cod Whalers,https://www.capecodwhalers.com/,https://www.capecodwhalers.com/,,Scituate/Foxboro area,Scituate/Foxboro area,Scituate MA,,U10-U16,U10-U16,EHF,EHF,team-logos/logo-Cape-Cod-Whalers.png
Cardigan Mountain School,https://www.cardigan.org/,,Cardigan Mountain,Cardigan Mountain,Cardigan Mountain,"62 Alumni Drive, Canaan, NH 03741",,Grades 6-9,Grades 6-9,Prep,,team-logos/logo-Cardigan-Mountain-School.png
Casco Bay Mariners,https://www.cascobayhockey.com/,https://www.cascobayhockey.com/,Casco Bay Arena,Casco Bay Arena,Casco Bay Arena,"Portland, ME",,U8-U19,U8-U19,"BHL, NEGHL, MEAHA",NEGHL,team-logos/logo-Casco-Bay-Mariners.png
Central Mass Outlaws,https://outlawshockey.com/,https://outlawshockey.com/,New England Sports Center,New England Sports Center,New England Sports Center,Marlborough MA; P.O. Box 465 Worcester MA 01613,,14U-16U,14U-16U,PHL,PHL,team-logos/logo-Central-Mass-Outlaws.png
Charles River Blazers,,https://www.bochblazers.com/,Boch Ice Center,Boch Ice Center,Boch Ice Center,"1105 East St, Dedham, MA 02026",(781) 326-0085,U6-U19,U6-U19,,NEGHL,team-logos/logo-Charles-River-Blazers.png
Charles River South,,https://www.bochblazers.com/,Boch Ice Center,Boch Ice Center,Boch Ice Center,1105 East St Dedham MA 02026,(781) 326-0085,U10-U19,U10-U19,,NEGHL,team-logos/logo-Charles-River-South.png
Choate Rosemary Hall,https://www.choate.edu/,https://www.choate.edu/,Choate Rink,Choate Rink,Choate Rink,"333 Christian St, Wallingford, CT 06492",(203) 272-5245,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Choate-Rosemary-Hall.png
Concord Capitals,https://capitals.concordyouthhockey.org/,https://capitals.concordyouthhockey.org/,Concord area rinks,Concord area rinks,Concord area rinks,Concord NH,,U8-U18,U8-U18,"PHLNE, NEAHL","PHLNE, NEAHL",team-logos/logo-Concord-Capitals.png
Connecticut Nor'Easter,https://www.noreasterjrhockey.com/,,International Skating Center of Connecticut,ISCC (Simsbury),ISCC (Simsbury),"1375 Hopmeadow Street, Simsbury, CT 06070",,U6-U18,U6-U18,"EHL, CHC",,team-logos/logo-Connecticut-Nor-Easter.png
Connecticut RoughRiders,https://www.ct-roughriders.com/,,SoNo Ice House,SoNo Ice House,SoNo Ice House,"300 Wilson Ave, Norwalk, CT 06854",,Junior,Junior,EHL,,team-logos/logo-Connecticut-RoughRiders.png
Crimson Hockey Club,https://www.crimsonhc.com/,https://www.crimsonhc.com/,Fessenden Ice Rink / Bentley Arena / Zapustas Arena,Fessenden/Bentley/Zapustas,Fessenden/Bentley/Zapustas,Newton/Waltham/Randolph MA,,U8-U19,U8-U19,PHLNE,NEGHL (Crimson Pride),team-logos/logo-Crimson-Hockey-Club.png
Crimson Pride,,https://www.crimsonhc.com/,Fessenden Ice Rink,Fessenden Ice Rink,Fessenden/Stoughton,Newton MA,,U10-U19,U10-U19,,NEGHL,team-logos/logo-Crimson-Pride.png
CT Chiefs North,https://ctchiefshockey.com/,https://ctchiefshockey.com/,Biddeford Ice Arena,Biddeford Ice Arena,Biddeford Ice Arena,"14 Pomerleau St, Biddeford, ME 04005",,Junior,Junior,NCDC,,team-logos/logo-CT-Chiefs-North.png
CT Jr Rangers,https://cjrhockey.com/,https://cjrhockey.com/,Chelsea Piers Connecticut / Terry Conners Rink,Chelsea Piers CT / Terry Conners,Chelsea Piers CT / Terry Conners,1125 Cove Rd Stamford CT,,Mite-Junior,Mite-Junior,"USPHL, NCDC, CHC, AHF",NGHL,team-logos/logo-CT-Jr-Rangers.png
CT Polar Bears Back Bay,,https://www.ctpolarbears.com/,Multiple CT rinks,Multiple CT rinks,Rinks at Shelton,Connecticut,,U12-U19,U12-U19,,"NEGHL, CHC, CTGHL",team-logos/logo-CT-Polar-Bears-Back-Bay.png
Cushing Academy,https://www.cushing.org/,,Cushing Academy,Cushing Academy,Cushing Academy,"39 School St, Ashburnham, MA 01430",(978) 827-7000,Grades 9-12,Grades 9-12,NEPSAC,,team-logos/logo-Cushing-Academy.png
Deerfield Academy,https://deerfield.edu/,https://deerfield.edu/,Deerfield Academy Rink,Deerfield Academy,Deerfield Academy,"7 Boyden Ln, Deerfield, MA 01342",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Deerfield-Academy.png
Dexter Southfield School,https://www.dextersouthfield.org/,https://www.dextersouthfield.org/,Dexter Southfield,Dexter Southfield,Dexter Southfield,"20 Newton Street, Brookline, MA 02445",,Grades 6-12,Grades 6-12,ISL,NEPSAC,team-logos/logo-Dexter-Southfield-School.png
Dover,https://www.doverhockey.org/,https://www.doverhockey.org/,,Dover Ice Arena,Dover Ice Arena,"110 Portland Ave, Dover, NH 03820",,,,NHAHA,NHAHA,team-logos/logo-Dover.png
Eaglebrook School,https://www.eaglebrook.org/,,Eaglebrook School,Eaglebrook School,Eaglebrook School,"271 Pine Nook Rd, Deerfield, MA 01342",,Grades 6-9,Grades 6-9,Prep,,team-logos/logo-Eaglebrook-School.png
Vikings Militia Hockey Club,https://www.vikingshockeyclub.com/,https://www.militiahockey.com/,Thayer Sports Center,Thayer Sports Center,Thayer Sports Center,Braintree MA,,U8-U18,U8-U18,PHL,PHL (Militia Girls),team-logos/logo-Vikings-Militia-Hockey-Club.png
East Coast Wizards,https://www.ecwjrhockey.net/,https://www.ecwjrhockey.net/,The Edge Sports Center,The Edge Sports Center,The Edge Sports Center,"191 Hartwell Rd, Bedford, MA 01730",,U4-U20,U4-U20,"EHF, NEGHL",NEGHL,team-logos/logo-East-Coast-Wizards.png
Eastern MA Senators,https://www.easternmasshockey.com/,https://www.easternmasshockey.com/,Multiple Eastern MA rinks,Multiple Eastern MA,Multiple Eastern MA,Walpole/Bedford/Stoneham MA,,U8-U18,U8-U18,PHLNE,PHLNE,team-logos/logo-Eastern-MA-Senators.png
Express Hockey Club,https://expresshockeyclub.com/,https://expresshockeyclub.com/,Cadillac Ice Arena,Cadillac Ice Arena,Cadillac Ice Arena,"2130 Providence Hwy, Walpole, MA 02081",,Mite-Junior,Mite-Junior,"E9HL, BHL, PHL",PHL,team-logos/logo-Express-Hockey-Club.png
Fay School,https://www.fayschool.org/,https://www.fayschool.org/,Fay School,Fay School,Fay School,"48 Main Street, Southborough, MA 01772",,Grades 6-9,Grades 6-9,Prep,Prep,team-logos/logo-Fay-School.png
Frederick Gunn School,https://www.gunnery.org/,https://www.gunnery.org/,The Frederick Gunn School,Frederick Gunn School,Frederick Gunn School,"99 Green Hill Road, Washington, CT 06793",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Frederick-Gunn-School.png
GBL Boston Jr. Bruins,https://bostonjuniorbruins.com/,,New England Sports Center,New England Sports Center,New England Sports Center,"121 Donald Lynch Blvd, Marlborough, MA 01752",(508) 820-1600,,,"EHF, USPHL",,team-logos/logo-GBL-Boston-Jr--Bruins.png
Governor's Academy,https://www.thegovernorsacademy.org/,https://www.thegovernorsacademy.org/,Governor's Academy,Governor's Academy,Governor's Academy,"1 Elm St, Byfield, MA 01922",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Governor-s-Academy.png
Granite State Wild,https://www.doverhockey.org/,https://www.doverhockey.org/,Dover Ice Arena,Dover Ice Arena,Dover Ice Arena,"110 Portland Ave, Dover, NH 03820",,U12-U18,U12-U18,"NHAHA, PHLNE",NHAHA,team-logos/logo-Granite-State-Wild.png
Greenwich Academy,,https://www.greenwichacademy.org/,Greenwich Academy,Greenwich Academy,Greenwich Academy,"200 North Maple Avenue, Greenwich, CT 06830",,Grades K-12,Grades K-12,,NEPSAC,team-logos/logo-Greenwich-Academy.png
Greenwich Country Day School,https://www.gcds.net/,https://www.gcds.net/,GCDS,GCDS,GCDS,"401 Old Church Rd, Greenwich, CT 06830",,Grades K-12,Grades K-12,,FAA,team-logos/logo-Greenwich-Country-Day-School.png
Groton School,https://www.groton.org/,https://www.groton.org/,Groton School,Groton School,Groton School,"282 Farmers Row, Groton, MA 01450",,Grades 8-12,Grades 8-12,NEPSAC,NEPSAC,team-logos/logo-Groton-School.png
Hanover,https://www.hanoverhockey.org/,https://www.hanoverhockey.org/,,Campion/Thompson/Union,Campion/Thompson/Union,Hanover NH,,,,NHAHA,"NHAHA, ESGHL",team-logos/logo-Hanover.png
Hanover Wild,https://www.hanoverhockey.org/,https://www.hanoverhockey.org/,Campion Rink,Campion Rink,Campion Rink,West Lebanon NH,,U10-U16,U10-U16,NHAHA,"NHAHA, NEGHL",team-logos/logo-Hanover-Wild.png
Hartford Jr. Wolfpack,https://www.hartfordjrwolfpackyouth.com/,https://www.hartfordjrwolfpackyouth.com/,Champions Skating Center,Champions Skating Center,Champions Skating Center,"6 Progress Dr, Cromwell, CT 06416",(860) 632-0323,U8-U18,U8-U18,AHF,AGHF,team-logos/logo-Hartford-Jr--Wolfpack.png
HC Rhode Island,https://www.overspeedhockey.com/hc-rhode-island,,Thayer Arena,Thayer Arena,Thayer Arena,"975 Sandy Lane, Warwick, RI 02889",,Junior,Junior,EHL,,team-logos/logo-HC-Rhode-Island.png
Hebron Academy,https://www.hebronacademy.org/,https://www.hebronacademy.org/,Hebron Academy,Hebron Academy,Hebron Academy,"339 Paris Road, Hebron, ME 04238",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Hebron-Academy.png
Henniker,https://www.hyha.com/,https://www.hyha.com/,,Lee Clement Arena,Lee Clement Arena,"38 Grove Street, Henniker, NH 03242",,,,NHAHA,NHAHA,team-logos/logo-Henniker.png
Hillside School,https://www.hillsideschool.org/,,Hillside School,Hillside School,Hillside School,"404 Robin Hill Street, Marlborough, MA 01752",,Grades 6-9,Grades 6-9,Prep,,team-logos/logo-Hillside-School.png
Holderness School,https://www.holderness.org/,https://www.holderness.org/,Holderness School,Holderness School,Holderness School,"33 Chapel Lane, Holderness, NH 03245",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Holderness-School.png
Hoosac School,https://www.hoosac.com/,https://www.hoosac.com/,Hoosac School,Hoosac School,Hoosac School,"14 Pine Valley Road, Hoosick, NY 12089",,Grades 8-12,Grades 8-12,NEPSAC,NEPSAC,team-logos/logo-Hoosac-School.png
Hotchkiss School,https://www.hotchkiss.org/,https://www.hotchkiss.org/,Hotchkiss School,Hotchkiss School,Hotchkiss School,"11 Interlaken Rd, Lakeville, CT 06039",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Hotchkiss-School.png
Indian Mountain School,https://www.indianmountain.org/,https://www.indianmountain.org/,Indian Mountain,Indian Mountain,Indian Mountain,"211 Indian Mountain Road, Lakeville, CT 06039",,Grades PK-9,Grades PK-9,Prep,Prep,team-logos/logo-Indian-Mountain-School.png
Islanders,https://islandershockeyclub.com/,https://islandershockeyclub.com/,Skate 3 / Merrimack College / Gallant Arena,"Skate 3, Merrimack",New England Sports Center,Tyngsborough MA,,Mite-Junior,Mite-Junior,"EHF, USPHL, NCDC",NEGHL,team-logos/logo-Islanders.png
Islanders Hockey Club,https://www.islandershockeyclub.com/,https://www.islandershockeyclub.com/,Skate 3 / Merrimack College,"Skate 3, North Andover",Wilmington,350 Middlesex Rd Tyngsboro / 315 Turnpike St North Andover MA,P.O. Box 393 North Andover MA 01845,U8-U20,U8-U20,"EHF, USPHL",NEGHL,team-logos/logo-Islanders-Hockey-Club.png
Islanders West,https://www.islandershockeyclub.com/,https://www.islandershockeyclub.com/,,Skate 3,Wilmington,IHC-West division,,,,EHF,NEGHL,team-logos/logo-Islanders-West.png
Jr Falcons,https://www.jrfalcons.org/,https://www.jrfalcons.org/,Wallace Civic Center,Wallace Civic Center,Wallace Civic Center,"1000 John Fitch Hwy, Fitchburg, MA 01420",,U8-U18,U8-U18,Valley Hockey League,VHL,team-logos/logo-Jr-Falcons.png
Jr. Hawks,https://www.jrhawkshockey.com/,https://www.jrhawkshockey.com/,Southern NH rinks,Conway/Ice Den NH,Conway/Ice Den NH,Southern New Hampshire,,U8-U18,U8-U18,"BHL, VHL, TSMHL",NHAHA,team-logos/logo-Jr--Hawks.png
Kearsarge,https://www.kearsargehockey.org/,https://www.kearsargehockey.org/,,Teddy Maloney/Proctor,Teddy Maloney/Proctor,Kearsarge NH,,,,NHAHA,NHAHA,team-logos/logo-Kearsarge.png
Keene,https://www.keenehockey.org/,https://www.keenehockey.org/,,Keene Community Ice Arena,Keene Community Ice Arena,"380 Marlboro Street, Keene, NH 03431",,,,NHAHA,NHAHA,team-logos/logo-Keene.png
Kent School,https://www.kent-school.edu/,https://www.kent-school.edu/,Kent School,Kent School,Kent School,"1 Macedonia Rd, Kent, CT 06757",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Kent-School.png
Kents Hill School,https://www.kentshill.org/,https://www.kentshill.org/,Kents Hill School,Kents Hill School,Kents Hill School,"1614 Main Street, Kents Hill, ME 04349",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Kents-Hill-School.png
Kimball Union Academy,https://www.kua.org/,https://www.kua.org/,Kimball Union Academy,Kimball Union Academy,Kimball Union Academy,"7 Campus Center Dr, Meriden, NH 03770",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Kimball-Union-Academy.png
Kingswood Oxford (Middle School),https://www.kingswoodoxford.org/,,Kingswood Oxford,South Windsor Arena,South Windsor Arena,West Hartford CT,,Grades 6-12,Grades 6-12,FAA,,team-logos/logo-Kingswood-Oxford--Middle-School.png
Lady Flames,,https://www.minutemanflames.com/,New England Sports Center,New England Sports Center,New England Sports Center,"121 Donald Lynch Blvd, Marlborough, MA 01752",,U10-U19,U10-U19,,NEGHL,team-logos/logo-Lady-Flames.png
Lawrence Academy,https://www.lawrenceacademy.org/,https://www.lawrenceacademy.org/,Lawrence Academy,Lawrence Academy,Lawrence Academy,"26 Powdery Mill Rd, Groton, MA 01450",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Lawrence-Academy.png
Lewiston MAINEiacs,https://www.lewistonmaineiacshockey.com/,https://www.lewistonmaineiacshockey.com/,Lewiston area rinks,Norway Savings Bank Arena,Norway Savings Bank Arena,"985 Turner St, Auburn, ME 04210",,U8-U18,U8-U18,"NCDC, MEAHA",MAINEiacs Academy,team-logos/logo-Lewiston-MAINEiacs.png
Loomis Chaffee School,https://www.loomis.org/,https://www.loomis.org/,Loomis Chaffee,Loomis Chaffee,Loomis Chaffee,"4 Batchelder Rd, Windsor, CT 06095",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Loomis-Chaffee-School.png
Lovell Winter Club,https://lovellhockey.com/,https://lovellhockey.com/,Lovell Arena,Lovell Arena,Lovell Arena,Lovell ME,,,,"E9HL, BHL","E9HL, BHL",team-logos/logo-Lovell-Winter-Club.png
Maine Gladiators,https://www.mainegladiators.com/,https://www.mainegladiators.com/,Norway Savings Bank Arena,Norway Savings Bank Arena,Norway Savings Bank Arena,Auburn ME,,U6-U18,U6-U18,MEAHA,MEAHA,team-logos/logo-Maine-Gladiators.png
Maine Nordiques,https://www.mainenordiquesyouth.com/,https://www.mainenordiquesyouth.com/,,The Colisee,The Colisee,"190 Birch St, Lewiston, ME 04240",,,,MEAHA,MEAHA,team-logos/logo-Maine-Nordiques.png
Maine Wild,https://www.mainewildhockey.com/,https://www.mainewildhockey.com/,Biddeford Ice Arena,Biddeford Ice Arena,Biddeford Ice Arena,"14 Pomerleau St, Biddeford, ME 04005",,U8-U18,U8-U18,NEPHL,NEPHL,team-logos/logo-Maine-Wild.png
Manchester Flames,https://hockey.travelsports.com/clubs/manchester-flames,same,JFK Memorial Coliseum/West Side Ice Arena,"JFK Memorial, West Side","JFK Memorial, West Side",Manchester NH,,8U-18U,8U-18U,"EHF, NHAHA",NHAHA,team-logos/logo-Manchester-Flames.png
Mass Bay Chiefs,https://www.massbaychiefs.com/,https://www.massbaychiefs.com/,Mass Bay Hockey Center,Mass Bay Hockey Center,Mass Bay Hockey Center,216 Newbury St Peabody MA,,U6-U18,U6-U18,"PHL, MAHO",MAHO,team-logos/logo-Mass-Bay-Chiefs.png
Mass Spitfires,https://spitfireshockey.com/,https://spitfireshockey.com/,Massachusetts rinks,Foxboro Sports Center,Foxboro Sports Center,"10 East Belcher Road, Foxboro, MA 02035",,,,,NEGHL,team-logos/logo-Mass-Spitfires.png
MassConn United,https://www.massconnunitedhc.com/,https://www.massconnunitedhc.com/,Enfield Twin Rink,Enfield Twin Rink,Enfield Twin Rink,1 Prior Rd Enfield CT 06082,,7U-18U,7U-18U,"EHF, AHF",NEGHL,team-logos/logo-MassConn-United.png
Mid-Fairfield Stars,https://www.midfairfieldhockey.com/,https://www.midfairfieldhockey.com/,,Shelton Ice Rink,Shelton Ice Rink,"784 River Rd, Shelton, CT 06484",,Mite-Peewee-Bantam,Mite-Peewee-Bantam,Elite/AA/AAA,NEGHL,team-logos/logo-Mid-Fairfield-Stars.png
Middlesex School,https://www.middlesexschool.org/,https://www.middlesexschool.org/,Middlesex School,Middlesex School,Middlesex School,"1400 Lowell Rd, Concord, MA 01742",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Middlesex-School.png
Millbrook School,https://www.millbrook.org/,https://www.millbrook.org/,Millbrook School,Millbrook School,Millbrook School,Millbrook NY,,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Millbrook-School.png
Milton Academy,https://www.milton.edu/,https://www.milton.edu/,Milton Academy,Milton Academy,Milton Academy,"170 Centre St, Milton, MA 02186",,Grades 6-12,Grades 6-12,ISL,ISL,team-logos/logo-Milton-Academy.png
Mount Washington Valley,https://www.mwvyha.org/,https://www.mwvyha.org/,,Ham Arena,Ham Arena,Mt Washington Valley NH,,,,NHAHA,NHAHA,team-logos/logo-Mount-Washington-Valley.png
Mt. St. Charles Academy,https://www.mountsaintcharles.org/,https://www.mountsaintcharles.org/,Mt. St. Charles,Mt. St. Charles,Mt. St. Charles,"800 Logee St, Woonsocket, RI 02895",,Grades 7-12,Grades 7-12,"RIIL, Prep","RIIL, NEPSAC",team-logos/logo-Mt--St--Charles-Academy.png
NAHA Jr. Hawks,,https://www.jrhawkshockey.com/,NH rinks,NH rinks,Canton Ice House,New Hampshire,,U8-U18,U8-U18,,"NHAHA, NEGHL",team-logos/logo-NAHA-Jr--Hawks.png
National Hockey Institute,https://nationalhockeyinstitute.com/,,Waterville Valley Ice Arena,Waterville Valley,Waterville Valley,Waterville Valley NH,,19U,19U,Prep,,team-logos/logo-National-Hockey-Institute.png
NE Knights,https://lovellhockey.com/knights/,https://lovellhockey.com/knights/,Raynham area rinks,Raynham IcePlex,Raynham IcePlex,"1568 Broadway, Raynham, MA 02767",,U7-U19,U7-U19,"E9, BHL","E9, BHL",team-logos/logo-NE-Knights.png
NE Stars,https://nestarshockey.com/,https://nestarshockey.com/,Multiple NE rinks,Skate 3,Skate 3,Massachusetts/NH/CT/ME,,U8-U18,U8-U18,"PHLNE, NHAHA",NEPHL,team-logos/logo-NE-Stars.png
NE Wildcats,https://www.newenglandwildcats.com/,https://www.newenglandwildcats.com/,Delta Dental Arena,Delta Dental Arena,Delta Dental Arena,Manchester NH,,U6-U19,U6-U19,NHAHA,NEGHL,team-logos/logo-NE-Wildcats.png
New England Wolves,https://www.ne-wolveshockey.com/,https://www.ne-wolveshockey.com/,Merrill Fay Arena,Merrill Fay Arena,Merrill Fay Arena,"468 Province Road, Laconia, NH 03246",,,,EHL,same,team-logos/logo-New-England-Wolves.png
New Hampshire Avalanche,https://www.nhavalanche.com/,https://www.nhavalanche.com/,Ice Den Arena,Ice Den Arena,Ice Den Arena,"600 Quality Dr, Hooksett, NH 03106",,,,"EHL, EHLP",NHAHA,team-logos/logo-New-Hampshire-Avalanche.png
New Hampton School,https://www.newhampton.org/,https://www.newhampton.org/,New Hampton School,New Hampton School,New Hampton School,"70 Main Street, New Hampton, NH 03256",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-New-Hampton-School.png
